zip_code,DP05_0004E,DP05_0008PE,DP05_0009PE,DP05_0024PE
00601,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
02148,102.6,4.6,8.7,7.5
02149,91.8,3.3,8.2,12.7
02150,97.5,5.4,7.1,11.2
02151,106.9,5.9,6.5,9.5
02152,101.3,5.1,5.0,14.4
02155,88.3,5.4,3.4,18.0
02163,96.2,6.9,11.1,14.3
02169,93.9,18.7,15.2,0.0
02170,91.7,3.5,5.5,16.2
02171,98.3,5.0,7.7,16.1
02176,99.8,4.4,5.7,18.6
02180,85.7,5.9,6.0,17.2
02184,100.3,2.9,5.5,20.2
02186,93.7,5.3,4.9,17.0
02188,88.7,8.4,6.6,16.9
02189,97.7,5.9,5.8,20.6
02190,80.2,5.9,8.8,12.9
02191,93.8,3.7,5.9,17.5
02199,89.8,5.1,5.8,22.6
02203,66.0,0.6,5.6,21.7
02210,-,0.0,0.0,100.0
02215,138.0,0.8,6.6,7.2
02301,75.2,26.8,33.4,2.6
02302,89.0,7.2,7.5,13.1
02322,95.0,6.7,6.8,12.9
02324,90.8,4.6,3.4,14.3
02330,108.0,11.5,11.8,13.8
02332,94.5,6.0,7.1,19.8
02333,90.8,6.5,5.5,21.4
02338,91.5,5.5,5.2,15.4
02339,87.3,5.3,7.6,15.2
02341,94.2,8.2,5.4,16.7
02343,99.9,6.9,7.5,17.5
02346,92.0,11.1,4.4,17.8
02347,104.9,6.3,6.2,18.9
02351,101.9,6.7,4.6,15.8
02356,97.7,5.0,7.6,14.9
02357,89.1,8.0,7.4,15.1
02359,126.2,63.4,26.2,4.1
02360,95.8,7.8,5.8,15.2
02364,93.4,5.4,5.5,21.9
02366,91.3,8.6,5.6,19.2
02367,-,0.0,4.5,13.1
02368,108.8,5.8,4.6,18.0
02370,91.4,5.9,7.9,15.6
02375,91.7,4.6,5.8,15.8
02379,89.4,7.2,6.6,16.4
02382,95.6,7.1,5.7,18.7
02420,98.0,8.4,6.1,12.8
02421,93.7,7.9,3.6,18.9
02445,94.2,7.1,2.7,20.3
02446,93.0,4.6,10.9,14.8
02451,88.4,4.6,11.9,15.8
02452,99.8,3.0,6.9,16.7
02453,96.6,14.2,16.6,13.7
02457,91.9,8.0,13.0,12.2
02458,80.4,49.5,49.5,0.0
02459,91.9,5.9,5.5,15.6
02460,88.7,11.8,5.3,21.6
02461,87.5,8.1,5.5,17.0
02462,90.1,7.2,2.2,18.7
02464,73.2,8.6,4.2,16.8
02465,92.0,5.5,3.5,13.3
02466,92.3,6.6,3.8,16.4
02467,81.0,13.8,11.0,17.7
02468,79.5,15.6,19.9,15.8
02472,88.2,6.7,2.2,22.2
02474,87.7,3.3,4.6,16.1
02476,87.4,5.2,3.4,14.9
02478,85.3,5.0,3.6,19.7
02481,86.5,6.3,3.8,16.4
02482,70.5,13.1,8.7,13.2
02492,85.1,8.7,5.7,19.5
02493,94.3,8.4,4.5,20.1
02494,91.6,10.1,5.5,21.0
02532,88.1,5.8,4.2,16.4
02534,93.5,6.2,7.3,25.4
02535,121.8,18.4,4.7,17.1
02536,93.1,7.5,6.5,25.6
02537,101.5,5.9,4.3,26.6
02538,98.7,4.4,6.2,21.4
02539,86.5,4.2,10.2,10.2
02540,101.0,8.3,7.9,19.9
02542,81.8,5.4,2.8,40.5
02543,155.1,1.6,15.5,0.0
02553,41.4,0.0,2.6,51.9
02554,14.4,0.0,0.0,100.0
02556,103.8,5.3,3.3,14.1
02557,79.8,4.2,1.6,39.6
02558,95.2,5.5,1.4,22.7
02559,96.6,5.6,6.0,46.2
02561,104.9,4.9,6.2,36.3
02562,322.9,4.4,15.9,26.4
02563,89.0,6.4,6.8,20.8
02564,93.7,7.8,6.2,25.7
02568,180.7,18.5,8.6,36.1
02571,115.1,8.3,2.6,21.0
02575,88.4,4.7,4.9,20.5
02576,72.6,5.7,1.1,32.4
02584,99.0,6.9,4.7,24.0
02601,-,-,-,-
02630,93.6,5.7,5.5,15.5
02631,101.1,2.8,5.0,26.9
02632,92.6,6.3,4.4,32.0
02633,102.9,5.3,4.6,26.4
02635,87.0,2.9,5.6,48.1
02637,84.4,5.5,5.1,30.5
02638,123.6,0.0,0.0,55.3
02639,88.8,2.7,3.5,51.1
02641,104.1,4.4,4.5,21.4
02642,51.6,9.8,7.2,64.4
