,zip_code, !!Total:, !!Total:!!Urban, !!Total:!!Rural
793,03110,23322,21183,2139
794,03215,510,0,510
795,03216,2327,0,2327
796,03217,1938,1489,449
797,03218,1116,0,1116
798,03220,7368,1325,6043
799,03221,2307,0,2307
800,03222,5743,0,5743
801,03223,3410,0,3410
802,03224,2368,19,2349
803,03225,3799,0,3799
804,03226,1145,34,1111
805,03227,1113,0,1113
806,03229,5919,0,5919
807,03230,1256,0,1256
808,03231,85,0,85
809,03233,115,0,115
810,03234,4817,0,4817
811,03235,8856,6659,2197
812,03237,2478,0,2478
813,03238,44,0,44
814,03240,1385,0,1385
815,03241,953,0,953
816,03242,6185,0,6185
817,03243,1076,0,1076
818,03244,8001,0,8001
819,03245,2017,190,1827
820,03246,16905,16064,841
821,03249,7698,4281,3417
822,03251,1631,1306,325
823,03253,6558,3363,3195
824,03254,4910,0,4910
825,03255,2158,0,2158
826,03256,2373,14,2359
827,03257,4513,0,4513
828,03258,2625,6,2619
829,03259,236,0,236
830,03260,798,0,798
831,03261,4685,0,4685
832,03262,1362,699,663
833,03263,4094,0,4094
834,03264,7054,4487,2567
835,03266,2098,0,2098
836,03268,1236,0,1236
837,03269,3026,211,2815
838,03273,259,0,259
839,03275,11946,6860,5086
840,03276,8766,3846,4920
841,03278,3126,0,3126
842,03279,781,0,781
843,03280,1195,0,1195
844,03281,9092,0,9092
845,03282,845,0,845
846,03284,902,0,902
847,03285,2708,0,2708
848,03287,1407,0,1407
849,03290,5129,0,5129
850,03291,73,0,73
851,03293,72,0,72
852,03301,33352,30008,3344
853,03303,16516,10886,5630
854,03304,8229,1357,6872
855,03307,5600,176,5424
856,03431,24978,21496,3482
857,03440,2726,0,2726
858,03441,354,0,354
859,03442,1501,0,1501
860,03443,616,0,616
861,03444,1508,0,1508
862,03445,666,0,666
863,03446,6351,49,6302
864,03447,2351,0,2351
865,03448,752,0,752
866,03449,1763,0,1763
867,03450,975,0,975
868,03451,3948,0,3948
869,03452,5320,0,5320
870,03455,2132,1142,990
871,03456,749,0,749
872,03457,803,0,803
873,03458,6794,0,6794
874,03461,6476,0,6476
875,03462,1710,0,1710
876,03464,1194,0,1194
877,03465,2130,0,2130
878,03466,1226,0,1226
879,03467,1706,0,1706
880,03470,4993,0,4993
881,03561,6005,0,6005
882,03570,9429,7452,1977
883,03574,2514,0,2514
884,03575,107,0,107
885,03576,2939,0,2939
886,03579,458,0,458
887,03580,1344,0,1344
888,03581,3053,2206,847
889,03582,2337,0,2337
890,03583,1038,0,1038
891,03584,3490,0,3490
892,03585,2626,0,2626
893,03586,654,0,654
894,03588,1664,0,1664
895,03590,910,0,910
