zip_code,Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars)
45213,58560,8554,84297,5544,108560,15165,35514,5137
45214,22872,4283,26788,7152,66094,21103,16825,4159
45215,55398,3796,78816,7289,107422,9715,35647,5519
45216,35421,5805,46821,8594,60081,6426,27888,7239
45217,53786,6440,70788,10677,92500,7987,33563,7103
45218,66641,11681,82708,5729,94750,11681,50573,8674
45219,28219,2940,31962,6914,63750,18742,24872,3071
45220,36648,4370,70745,15459,99855,28989,24496,2932
45223,41820,4368,54025,7946,99881,12516,28858,5010
45224,48949,3233,64859,4685,79333,8558,27340,5183
45225,14198,999,16271,4937,50465,5058,13508,902
45226,84712,10310,137500,19946,157847,17975,62957,13777
45227,53928,2736,66788,6794,97250,13913,40714,4248
45229,20221,3699,40134,12434,96125,26360,13162,1518
45230,68654,4864,90833,8474,114459,8476,40833,4046
45231,54563,3493,63866,4286,81340,4688,34249,3594
45232,19712,4678,22909,5219,76591,5823,15951,2493
45233,86594,11753,103357,10123,113269,11003,31427,4396
45236,64197,2845,86797,3567,100245,5388,36351,4255
45237,37671,4387,50638,6132,81914,9125,25166,4648
45238,51398,3295,65663,3762,82588,3349,31530,2617
45239,52212,4294,67402,3803,81430,7046,29248,4773
45240,60281,4180,71997,5475,90126,6035,39940,5709
45241,81117,3106,104801,3901,115560,4664,53390,4249
45242,104231,8024,128022,8977,140814,8995,50741,9053
45243,136406,11756,158536,9748,161310,11491,56023,26925
45244,89228,4087,116789,8258,132139,5311,37614,8796
45245,64328,4350,83750,6188,95409,9222,42440,3962
45246,58376,5561,71497,9268,85609,12944,45356,7703
45247,77066,6254,98531,7949,113082,5572,47944,7538
45248,72440,5010,90693,3793,104664,4915,40542,4045
45249,85988,5788,117839,24039,139500,25027,43231,6897
45251,63738,2267,69974,3817,84731,8273,43568,4943
45252,89444,9388,112969,18798,122992,13244,44113,6598
45255,73500,6874,100513,3017,111250,6502,39871,5037
45301,-,**,-,**,-,**,-,**
45302,84740,8899,93467,7392,96111,10604,44375,9087
45303,60221,9267,66193,5268,73958,14826,33750,15297
45304,71680,8230,79594,7808,90529,8370,36151,3994
45305,93152,13714,112117,12305,125463,16429,63627,18119
45306,65625,8781,86518,10971,88393,10808,42670,3823
45307,39464,14878,42143,12096,55500,10530,35156,16976
45308,62500,8062,67500,12242,75216,3507,32353,5890
45309,62326,6131,81137,5686,86169,10153,40469,6361
45310,69375,10231,83750,19499,86000,18122,65000,40752
45311,58475,5220,69527,5185,73036,5269,28917,8724
45312,69728,19918,83750,15536,90481,14734,47109,11711
45314,63750,15153,85906,5008,87313,6141,29250,5089
45315,80607,16096,88694,12635,103036,20566,45093,28098
45316,67750,46923,68750,56372,105938,30431,-,**
45317,79750,13610,82904,21317,84191,8465,-,**
45318,55469,7681,68929,6919,76420,6416,28810,4309
45319,59722,6411,68750,16464,84500,17313,40000,34325
45320,58102,5635,73664,3279,80827,3596,27621,2843
45321,55074,9219,62813,12514,73393,16732,44583,12321
45322,65441,3245,74103,6017,87452,5402,39547,5718
45323,61886,4071,75268,11393,82972,7991,35978,7883
45324,49562,3811,62692,4209,85977,7781,34541,3250
45325,72426,14564,76781,11858,77270,13803,38462,10613
45326,73359,22642,76389,13391,81667,13556,52969,11206
45327,65852,10070,76860,7928,93259,10598,42859,15207
45328,45139,7446,50481,8256,56250,20795,28000,12232
45330,53804,8877,54792,11528,72727,15221,32083,11325
45331,48142,2513,60152,3453,67442,3967,29763,3913
45332,44020,3505,44000,4608,44607,8837,-,**
45333,84167,21998,86571,19277,100027,25740,40147,2395
45334,60804,6223,68466,4148,83611,5776,28409,8739
45335,65843,3604,73935,7730,84330,7031,31696,3285
45336,59375,15547,65833,32132,67083,38753,-,**
45337,67639,10853,72500,20174,80250,19870,57989,19730
45338,62813,5757,80383,7947,83640,6161,39023,6977
45339,57697,5183,88681,30747,89653,23707,36875,30258
45340,75365,31320,81250,11146,83500,13063,-,**
45341,46419,7091,54606,4516,58250,9876,26382,9975
45342,62829,2488,72668,5036,81889,6422,41672,4073
45344,54103,4169,65069,3848,77569,4951,29052,4999
45345,60969,8222,70552,10130,76008,11037,43375,19799
45346,58314,9480,66136,16273,69938,14903,35357,6049
45347,53750,12366,66184,8862,75179,13353,28542,12215
45348,64028,15078,87632,38471,89211,8608,56477,10400
45349,70000,9138,73750,6835,81000,12088,26146,5676
45350,90250,30917,90500,26409,91500,23393,-,**
45351,60000,38818,86563,16510,86563,16516,24583,8337
45352,36250,12409,48750,33708,57500,30164,29643,5636
