zip_code,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!65 years and over
01342,87.1,10.9,16.9,18.9
01343,95.0,0.0,0.0,15.4
01344,83.8,5.4,4.5,19.3
01346,74.4,5.1,10.2,32.1
01347,22.2,5.2,28.6,18.2
01349,90.8,7.0,9.3,15.0
01350,102.3,2.3,2.3,20.7
01351,87.1,3.5,3.2,20.1
01354,149.0,6.8,4.1,19.5
01355,117.5,7.6,2.0,23.5
01360,95.1,6.7,3.4,19.8
01364,86.5,5.8,5.4,18.3
01366,90.7,7.1,6.3,25.4
01367,86.8,10.3,4.1,21.4
01368,108.6,5.4,1.5,22.6
01370,88.8,4.6,3.9,25.0
01373,93.4,6.0,2.7,21.0
01375,91.2,2.2,12.0,15.7
01376,86.7,3.7,5.1,22.2
01378,100.5,2.8,5.6,19.7
01379,102.7,3.7,1.6,22.2
01420,99.7,7.0,9.3,13.5
01430,96.8,7.4,3.8,13.2
01431,108.5,7.0,3.9,15.7
01432,98.2,1.9,6.2,14.9
01434,443.9,3.3,3.4,13.0
01436,108.4,4.5,7.7,18.2
01438,116.2,16.3,0.1,0.0
01440,106.6,4.4,5.8,15.4
01450,96.9,9.0,5.1,14.9
01451,105.9,6.5,2.9,17.4
01452,98.1,5.6,8.3,18.6
01453,90.8,5.5,5.5,15.9
01460,96.7,8.1,3.3,15.4
01462,91.9,8.0,3.7,16.9
01463,97.7,6.5,5.9,15.5
01464,164.9,2.7,8.6,13.9
01467,54.2,5.4,0.0,37.7
01468,82.2,4.5,4.6,19.6
01469,97.5,5.5,6.0,14.1
01473,100.6,4.5,4.8,17.5
01474,101.5,6.7,6.0,17.6
01475,108.3,5.7,6.5,14.2
01501,95.0,5.3,5.1,18.9
01503,92.8,4.4,6.0,25.5
01504,96.3,6.9,6.2,14.5
01505,94.1,8.7,5.1,17.3
01506,97.6,4.6,6.5,19.3
01507,91.8,5.6,6.9,14.8
01510,98.1,6.5,6.6,13.0
01515,102.6,3.3,7.0,15.7
01516,107.9,8.1,6.8,12.1
01518,87.2,3.7,3.5,15.4
01519,93.7,8.3,5.0,13.5
01520,93.8,6.9,4.4,16.5
01521,110.1,8.4,4.8,17.6
01522,97.9,9.4,3.7,21.8
01523,153.5,7.3,6.0,15.8
01524,89.4,9.2,9.2,13.8
01525,84.4,0.0,8.8,7.7
01527,91.1,4.9,6.7,17.7
01529,86.7,6.8,4.9,12.2
01531,93.8,6.4,3.4,14.4
01532,90.4,6.4,5.5,15.8
01534,85.9,7.1,4.6,17.7
01535,90.1,6.5,7.1,16.1
01536,92.6,7.7,5.9,12.6
01537,84.2,10.4,10.5,15.4
01540,102.0,5.8,6.9,13.4
01541,108.1,7.1,3.2,22.4
01542,86.8,2.3,2.5,16.3
01543,115.3,9.3,5.1,11.4
01545,96.2,6.1,5.5,16.8
01550,95.5,6.3,7.8,15.0
01560,97.8,5.1,4.1,12.6
01561,164.6,0.0,0.0,57.9
01562,110.4,5.1,5.4,18.2
01564,91.2,8.3,3.4,18.9
01566,76.7,6.7,5.9,19.6
01568,101.6,5.5,3.5,14.3
01569,106.5,6.4,5.6,14.2
01570,84.5,6.4,5.8,18.0
01571,93.9,11.3,10.0,14.4
01581,100.9,5.9,3.0,13.7
01583,142.2,3.1,5.5,18.4
01585,95.2,2.2,5.7,22.0
01588,92.4,6.0,5.8,17.2
01590,108.1,8.4,4.5,15.3
01602,93.6,8.4,9.1,17.7
01603,99.0,7.9,9.2,13.6
01604,98.2,5.2,7.4,11.9
01605,97.5,7.2,9.1,13.5
01606,92.8,6.8,5.4,15.8
01607,92.2,5.4,5.7,13.0
01608,77.6,5.3,12.8,8.0
01609,106.8,14.3,15.8,17.0
01610,92.0,15.8,18.3,8.8
01611,100.3,6.5,8.0,13.0
01612,106.0,11.9,8.4,16.3
01701,97.8,5.0,4.6,20.1
01702,95.6,7.9,6.4,12.1
01718,92.2,16.1,3.4,4.8
01719,102.1,8.1,5.0,11.7
01720,94.9,7.3,3.7,15.8
01721,94.5,4.6,5.5,16.0
01730,91.4,6.4,4.0,17.4
01731,124.3,8.1,4.5,0.5
01740,105.0,7.3,3.9,13.0
01741,112.0,6.7,4.6,19.4
01742,105.2,6.1,2.7,20.6
01745,49.5,2.2,5.9,6.6
01746,92.7,7.7,4.3,14.4
01747,95.6,6.5,3.4,17.1
01748,94.6,6.9,2.7,14.1
01749,96.2,7.1,5.3,17.8
01752,94.0,5.6,5.7,14.2
01754,95.2,4.5,4.2,15.2
01756,95.9,6.1,6.0,16.1
01757,98.7,5.6,5.0,15.2
01760,97.3,5.7,3.6,15.5
01770,85.2,9.0,2.4,16.8
